,movie_title,movie_id,tags
78,Iron Man 2,tt1228705,action adventur sci-fi hammer militari monaco reveng toni stark robertdowneyjr. scarlettjohansson jonfavreau jonfavreau
79,Snow White and the Huntsman,tt1735898,action adventur drama fantasi evil queen fairi tale magic queen snow white chrishemsworth kristenstewart samclaflin rupertsand
80,Maleficent,tt1587310,action adventur famili fantasi romanc curs dark fantasi fairi king kingdom angelinajoliepitt sharltocopley samriley robertstromberg
81,Dawn of the Planet of the Apes,tt2103281,action adventur drama sci-fi ape dam leader post apocalyps sequel garyoldman judygr kodismit-mcphe mattreev
82,47 Ronin,tt1335975,action adventur drama fantasi box offic flop ronin samurai shogun tournament keanureev cary-hiroyukitagawa jinakanishi carlrinsch
83,Captain America: The Winter Soldier,tt1843866,action adventur sci-fi conspiraci heroism megalomaniac super soldier world domin scarlettjohansson chrisevan hayleyatwel anthonyrusso
84,Shrek Forever After,tt0892791,adventur anim comedi famili fantasi altern world fairi tale parodi femal warrior ogr true love jonhamm kathygriffin marykayplac mikemitchel
85,Tomorrowland,tt1964418,action adventur famili mysteri sci-fi boy geniu futurist citi inventor teenag girl time travel judygr chrisbauer thomasrobinson bradbird
86,Big Hero 6,tt2245084,action adventur anim comedi drama famili sci-fi high tech martial art mask man robot superhero damonwayansjr. danielhenney abrahambenrubi donhal
87,Wreck-It Ralph,tt1772341,adventur anim comedi famili sci-fi arcad candi glitch king medal jackmcbray sarahsilverman joelotruglio richmoor
88,The Polar Express,tt0338348,adventur anim famili fantasi boy christma christma eve north pole train tomhank eddiedeezen peterscolari robertzemecki
89,Independence Day: Resurgence,tt1628841,action adventur sci-fi alien battl defens independ day mothership vivicaa.fox selaward juddhirsch rolandemmerich
90,How to Train Your Dragon,tt0892769,adventur anim famili fantasi dragon island train vike villag gerardbutl americaferrera craigferguson deandebloi
91,Terminator 3: Rise of the Machines,tt0181852,action sci-fi drifter explod truck futur machin skynet nickstahl m.c.gainey carolynhennesi jonathanmostow
92,Guardians of the Galaxy,tt2015381,action adventur sci-fi bounti hunter outer space raccoon talk anim tree bradleycoop vindiesel djimonhouns jamesgunn
93,Interstellar,tt0816692,adventur drama sci-fi black hole father daughter relationship save the world space travel wormhol matthewmcconaughey annehathaway mackenziefoy christophernolan
94,Inception,tt1375666,action adventur sci-fi thriller ambigu end corpor espionag dream subconsci thief leonardodicaprio tomhardi josephgordon-levitt christophernolan
95,The Hobbit: An Unexpected Journey,tt0903624,adventur fantasi dragon dwarf hobbit orc wizard aidanturn adambrown jamesnesbitt peterjackson
96,The Fast and the Furious,tt0232500,action crime thriller eighteen wheeler illeg street race truck trucker undercov cop paulwalk vindiesel jordanabrewst robcohen
97,The Curious Case of Benjamin Button,tt0421715,drama fantasi romanc deform babi diari lingeri slip older man younger woman relationship prematur age bradpitt jasonflemyng juliaormond davidfinch
98,X-Men: First Class,tt1270798,action adventur sci-fi cia cia agent mutant nuclear war professor jenniferlawr michaelfassbend oliverplatt matthewvaughn
99,The Hunger Games: Mockingjay - Part 2,tt1951266,adventur sci-fi death of sister dystopia execut rebellion revolut jenniferlawr philipseymourhoffman joshhutcherson francislawr
100,The Sorcerer's Apprentice,tt0963966,action adventur famili fantasi chosen one enchant object love spell train nicolascag omarbensonmil robertcapron jonturteltaub
101,Poseidon,tt0409182,action adventur drama thriller cruis escap ocean passeng water jimmybennett mikevogel andrebraugh wolfgangpetersen
102,Alice Through the Looking Glass,tt2567026,adventur famili fantasi clock dark fantasi mad hatter queen sequel johnnydepp alanrickman annehathaway jamesbobin
103,Shrek the Third,tt0413267,adventur anim comedi famili fantasi disney spoof fairi tale princ princess tough guy justintimberlak ericidl ruperteverett chrismil
104,Warcraft,tt0803096,action adventur fantasi base on video game fiction languag fiction war orc sword and sorceri dominiccoop callumrenni ruthnegga duncanjon
105,Terminator Genisys,tt1340138,action adventur sci-fi altern timelin cyborg futur robot time machin j.k.simmon emiliaclark mattsmith alantaylor
106,The Chronicles of Narnia: The Voyage of the Dawn Treader,tt0980970,adventur famili fantasi dragon king mous quest warrior brucesp shanerangi laurabr michaelapt
107,Pearl Harbor,tt0213149,action drama histori romanc war air raid black smoke japanes militari japanes navi sunday jennifergarn jaimek mako michaelbay
108,Transformers,tt0418279,action adventur sci-fi alien contact autobot decepticon robot vs. robot teenag hero zackward michaelo'neil kevindunn michaelbay
109,Alexander,tt0346491,action adventur biographi drama histori romanc war ancient greec conquest greek greek myth king anthonyhopkin angelinajoliepitt brianbless oliverston
110,Harry Potter and the Order of the Phoenix,tt0373889,adventur famili fantasi mysteri battl magic school teacher wizard robertpattinson danielradcliff fionashaw davidy
111,Harry Potter and the Goblet of Fire,tt0330373,adventur famili fantasi mysteri fire goblet magic tournament wizard robertpattinson danielradcliff rupertgrint mikenewel
112,Hancock,tt0448157,action drama bulli comeupp destruct prison superhero tough girl willsmith charlizetheron eddiemarsan peterberg
113,I Am Legend,tt0480249,drama horror sci-fi new york citi pandem post apocalyps survivalist viru willsmith alicebraga willowsmith francislawr
114,Charlie and the Chocolate Factory,tt0367594,adventur comedi famili fantasi chocol diminut miniatur physic flexabl ticket johnnydepp christopherle davidkelli timburton
115,Ratatouille,tt0382932,anim comedi famili fantasi chef food french rat restaur janeanegarofalo johnratzenberg briandennehi bradbird
116,Batman Begins,tt0372784,action adventur armor car gangster gotham mix martial art social decay christianbal liamneeson morganfreeman christophernolan
117,Madagascar: Escape 2 Africa,tt0479952,action adventur anim comedi famili africa madagascar new york citi sequel zoo berniemac jadapinkettsmith cedrictheentertain ericdarnel
118,Night at the Museum: Battle of the Smithsonian,tt1078912,adventur comedi famili fantasi hdtv motorcycl museum secur guard tyrannosauru rex robinwilliam ramimalek stevecoogan shawnlevi
119,X-Men Origins: Wolverine,tt0458525,action adventur fantasi sci-fi thriller armi civil war claw fight commando wolverin the charact hughjackman ryanreynold dominicmonaghan gavinhood
120,The Matrix Revolutions,tt0242653,action sci-fi battl epic fight futur machin essiedavi collinch nonagay lanawachowski
121,Frozen,tt2294629,adventur anim comedi famili fantasi music magic sister love sister sister relationship snow snowman joshgad mauricelamarch livvystubenrauch chrisbuck
122,The Matrix Reloaded,tt0234215,action sci-fi car motorcycl chase one against mani oracl propheci styliz violenc stevebastoni danielbernhardt helmutbaka lanawachowski
123,Thor: The Dark World,tt1981115,action adventur fantasi arrest portal thor warrior weapon chrishemsworth natalieportman anthonyhopkin alantaylor
124,Mad Max: Fury Road,tt1392190,action adventur sci-fi thriller australia desert escap on the run post apocalyps tomhardi charlizetheron zoëkravitz georgemil
125,Angels & Demons,tt0808151,mysteri thriller conclav illuminati murder refer to bernini refer to raphael tomhank ayeletzur arminmueller-stahl ronhoward
126,Thor,tt0800369,action adventur fantasi battl marvel cinemat univers scientist thor throne chrishemsworth natalieportman anthonyhopkin kennethbranagh
127,Bolt,tt0397892,adventur anim comedi drama famili cat dog hamster new york citi superpow chloëgracemoretz diedrichbad jameslipton byronhoward
128,G-Force,tt0436339,action adventur anim comedi famili fantasi sci-fi fbi director guinea pig household applianc secret agent talk mous kelligarn pipermackenzieharri niecynash hoytyeatman
129,Wrath of the Titans,tt1646987,action adventur fantasi are hade titan underworld zeu liamneeson edgarramírez lilyjam jonathanliebesman
130,Dark Shadows,tt1077368,comedi fantasi horror camera shot of feet cartoon on tv femal stocking feet femal stocking sole foot closeup johnnydepp chloëgracemoretz christopherle timburton
131,Mission: Impossible - Rogue Nation,tt2381249,action adventur thriller captur comput hacker mission rogu agent spi tomcruis jeremyrenn seanharri christophermcquarri
132,The Wolfman,tt0780653,drama fantasi horror thriller asylum death full moon transform werewolf anthonyhopkin simonmerrel artmalik joejohnston
133,Bee Movie,tt0389790,adventur anim comedi famili bee dream sequenc egg scatolog humor squash bug matthewbroderick oprahwinfrey riptorn stevehickn
134,Kung Fu Panda 2,tt1302011,action adventur anim comedi famili china kung fu panda peacock tigress angelinajoliepitt garyoldman mikebel jenniferyuhnelson
135,The Last Airbender,tt0938283,action adventur famili fantasi avatar fire kingdom tribe water seychellegabriel noahring aasifmandvi m.nightshyamalan
136,Mission: Impossible III,tt0317919,action adventur thriller arm dealer fiction govern agenc mission rescu vatican philipseymourhoffman tomcruis eddiemarsan j.j.abram
137,White House Down,tt2334879,action drama thriller black u.s. presid presid secret servic tour white hous channingtatum jakeweb mattcraven rolandemmerich
138,Mars Needs Moms,tt1305591,action adventur anim comedi famili sci-fi boy martian rescu robot sexism elisabethharnoi danfogl tomeverettscott simonwel
139,Flushed Away,tt0424095,adventur anim comedi famili boat frog rat sewer toad hughjackman katewinslet davidsuchet davidbow
140,Pan,tt3332064,adventur famili fantasi 1940 child hero fantasi world orphan refer to peter pan hughjackman caradelevingn nonsoanozi joewright
141,Mr. Peabody & Sherman,tt0864835,adventur anim comedi famili sci-fi dog father son relationship inventor talk dog time travel tyburrel zachcallison karanbrar robminkoff
142,Troy,tt0332452,adventur greek mytholog princ trojan troy bradpitt orlandobloom julianglov wolfgangpetersen
143,Madagascar 3: Europe's Most Wanted,tt1277953,adventur anim comedi famili anim circu island name in titl lemur penguin jadapinkettsmith martinshort cedrictheentertain ericdarnel
144,Die Another Day,tt0246460,action adventur thriller catfight clinic colonel diamond patricid tobystephen colinsalmon rickyun leetamahori
145,Ghostbusters,tt1289401,action comedi fantasi sci-fi ghost ghostbust ghostbust male objectif reboot edbegleyjr. katemckinnon zachwood paulfeig
146,Armageddon,tt0120591,action adventur sci-fi thriller asteroid astronaut bomb meteorit outer space brucewilli stevebuscemi willpatton michaelbay
147,Men in Black II,tt0120912,action adventur comedi famili fantasi mysteri sci-fi alien lingeri lingeri model m.i.b. pug willsmith rosariodawson riptorn barrysonnenfeld
148,Beowulf,tt0442933,action adventur anim fantasi creatur demon king reward warrior robinwright anthonyhopkin sebastianroché robertzemecki
149,Kung Fu Panda 3,tt2267968,action adventur anim comedi famili china kung fu panda pig villag j.k.simmon angelinajoliepitt wayneknight alessandrocarloni
150,Mission: Impossible - Ghost Protocol,tt1229238,action adventur thriller dubai kremlin race against time russian terrorist tomcruis jeremyrenn michaelnyqvist bradbird
151,Rise of the Guardians,tt1446192,adventur anim famili fantasi belief box offic hit children new york citi tooth hughjackman kamilmcfadden khamanigriffin peterramsey
152,Fun with Dick and Jane,tt0369441,comedi crime anim abus ceo heist suburb unemploy johnmichaelhiggin richardburgi davidherman deanparisot
153,The Last Samurai,tt0325710,action drama histori war captain emperor honor japan samurai tomcruis tonygoldwyn chadlindberg edwardzwick
154,Exodus: Gods and Kings,tt1528100,action adventur drama egypt exodu mose pharaoh plagu christianbal maríavalverd benmendelsohn ridleyscott
155,Star Trek,tt0796366,action adventur sci-fi box offic hit futur lift by the throat star trek vulcan chrishemsworth leonardnimoy brucegreenwood j.j.abram
156,Spider-Man,tt0145487,action adventur fantasi romanc evil goblin spider spider man superhero j.k.simmon jamesfranco kirstendunst samraimi
157,How to Train Your Dragon 2,tt1646971,action adventur anim comedi famili fantasi dragon father son relationship husband wife relationship mother son relationship vike gerardbutl djimonhouns americaferrera deandebloi
158,Gods of Egypt,tt2404233,action adventur fantasi ancient egypt egypt egyptian egyptian god egyptian goddess gerardbutl elodieyung bryanbrown alexproya
159,Stealth,tt0382992,action adventur sci-fi thriller artifici intellig box offic flop fighter jet navi pilot samshepard joemorton richardroxburgh robcohen
160,Watchmen,tt0409459,action drama mysteri sci-fi conspiraci cynic fals promis of the american dream male full frontal nuditi male nuditi mattfrew billycrudup stephenmchatti zacksnyd
161,Lethal Weapon 4,tt0122151,action crime thriller kung fu lapd martial art privat investig triad jetli renerusso darlenelov richarddonn
162,Hulk,tt0286716,action sci-fi 1980 c 130 hercul monster panzer san francisco california kevinrankin regidavi celiaweston angle
163,G.I. Joe: Retaliation,tt1583421,action adventur sci-fi thriller gener gi joe martial art ninja presid channingtatum dwaynejohnson elodieyung jonm.chu
164,Sahara,tt0318649,action adventur comedi thriller beach civil war desert dictat ship matthewmcconaughey rainnwilson delroylindo breckeisn
165,Final Fantasy: The Spirits Within,tt0173840,action adventur anim fantasi romanc sci-fi gener militari scientist soldier year 2065 stevebuscemi ming-nawen jeansimmon hironobusakaguchi
166,Captain America: The First Avenger,tt0458339,action adventur sci-fi arctic captain america scientist tesseract war bond chrisevan dominiccoop hayleyatwel joejohnston
167,The World Is Not Enough,tt0143145,action adventur thriller british oil scientist terrorist tycoon colinsalmon mariagraziacucinotta desmondllewelyn michaelapt
168,Master and Commander: The Far Side of the World,tt0311113,action adventur drama histori war 1800 napoleon war pursuit royal navi ship jamesd'arci leeinglebi davidthrelfal peterweir
169,The Twilight Saga: Breaking Dawn - Part 2,tt1673434,adventur drama fantasi romanc battl friend super strength vampir vision robertpattinson kristenstewart taylorlautn billcondon
170,Happy Feet 2,tt1402488,anim comedi famili music 3d antarctica krill penguin sequel robinwilliam bradpitt common georgemil
171,The Incredible Hulk,tt0800080,action adventur sci-fi antidot cure hulk marvel cinemat univers open action scene tyburrel petermensah williamhurt louisleterri
172,The BFG,tt3691740,adventur famili fantasi cannib evil brother giant london england queen markryl penelopewilton rafespal stevenspielberg
173,The Revenant,tt1663202,adventur drama thriller western bear attack cauter a wound nativ american reveng surviv leonardodicaprio tomhardi lukashaa alejandrog.iñárritu
174,Turbo,tt1860353,adventur anim comedi famili sport accid freak accid race snail underdog ryanreynold snoopdogg benschwartz davidsoren
175,Rango,tt1192628,adventur anim comedi famili western chameleon lizard sheriff water western town johnnydepp raywinston stephenroot goreverbinski
176,Penguins of Madagascar,tt1911658,adventur anim comedi famili littl girl park spi statu of liberti televis van benedictcumberbatch annetmahendru andyricht ericdarnel
177,The Bourne Ultimatum,tt0440963,action mysteri thriller action hero cia dark past flashback memori mattdamon edgarramírez albertfinney paulgreengrass
178,Kung Fu Panda,tt0441773,action adventur anim comedi famili kung fu kung fu master master panda snow leopard angelinajoliepitt wayneknight danfogl markosborn
179,Ant-Man,tt0478970,action adventur comedi sci-fi ant chinatown san francisco heist sabotag vault judygr hayleyatwel t.i. peytonre
180,The Hunger Games: Catching Fire,tt1951264,adventur sci-fi thriller presid snow televis tour upris jenniferlawr joshhutcherson sandraellislafferti francislawr
181,Home,tt2224026,adventur anim comedi famili fantasi sci-fi alien friendship alien invas australia fli car mother daughter relationship jimparson mattjon aprilwinchel timjohnson
182,War of the Worlds,tt0407304,adventur sci-fi thriller alien fight storm surviv tripod tomcruis lisaannwalt rickgonzalez stevenspielberg
183,Bad Boys II,tt0172156,action comedi crime thriller cuba dea drug money undercov willsmith henryrollin jordimollà michaelbay
184,Puss in Boots,tt0448694,action adventur anim comedi famili fantasi betray egg friend goos hero salmahayek constancemari amysedari chrismil
185,Salt,tt0944835,action crime mysteri thriller cia on the run russian russian spi strong femal lead angelinajoliepitt andrebraugh augustdiehl phillipnoyc
186,Noah,tt1959490,action adventur drama ark flood noah' ark water wrath of god anthonyhopkin emmawatson loganlerman darrenaronofski
187,The Adventures of Tintin,tt0983193,action adventur famili mysteri captain morocco ship tintin treasur tobyjon mackenziecrook tonycurran stevenspielberg
188,Harry Potter and the Prisoner of Azkaban,tt0304141,adventur famili fantasi mysteri magic muggl serial killer traitor wizard danielradcliff garyoldman rupertgrint alfonsocuarón
189,Australia,tt0455824,adventur drama romanc war australia cattl darwin drover japanes essiedavi bryanbrown eddiebaroo bazluhrmann
190,After Earth,tt1815862,action adventur sci-fi box offic flop father son team fear race against time real life father and son play father and son willsmith zoëkravitz glennmorshow m.nightshyamalan
191,Dinosaur,tt0130623,adventur anim famili thriller egg iguanodon lemur meteor nest ground alfrewoodard d.b.sweeney dellarees ericleighton
192,Night at the Museum: Secret of the Tomb,tt2692250,adventur comedi famili fantasi museum museum of natur histori manhattan new york citi night watchman star die befor releas tablet robinwilliam ramimalek stevecoogan shawnlevi
193,Megamind,tt1001526,action anim comedi famili sci-fi battl citi planet prison superhero j.k.simmon bradpitt willferrel tommcgrath
194,Harry Potter and the Sorcerer's Stone,tt0241527,adventur famili fantasi base on novel birthday evil wizard quidditch wizard danielradcliff fionashaw vernetroy chriscolumbu
195,R.I.P.D.,tt0790736,action comedi fantasi drug dealer gold partner polic undead ryanreynold jeffbridg stephanieszostak robertschwentk
196,Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,action adventur fantasi caribbean curs governor pirat undead johnnydepp orlandobloom jackdavenport goreverbinski
197,The Hunger Games: Mockingjay - Part 1,tt1951265,adventur sci-fi thriller base on young adult novel manipul rebellion symbol upris jenniferlawr philipseymourhoffman joshhutcherson francislawr
198,The Da Vinci Code,tt0382625,mysteri thriller base on supposedli true stori holi grail mari magdalen opu dei secret tomhank sethgabel jürgenprochnow ronhoward
199,Rio 2,tt2357291,adventur anim comedi famili music amazon bird father in law jungl no open credit miguelferr rachelcrow jeffreygarcia carlossaldanha
200,X-Men 2,tt0290334,action adventur fantasi sci-fi thriller mutant prison professor school x men hughjackman brucedavison aaronstanford bryansing
201,Fast Five,tt1596343,action crime thriller drug lord drug feder agent heist polic paulwalk vindiesel dwaynejohnson justinlin
